Epoch 11; car iou: 0.94688255; bicycle iou: 0.48236257; motorcycle iou: 0.68478763; truck iou: 0.5836912; other-vehicle iou: 0.5086567; person iou: 0.55333686; bicyclist iou: 0.7907986; motorcyclist iou: 0.028657183; road iou: 0.9379025; parking iou: 0.50490934; sidewalk iou: 0.79881626; other-ground iou: 0.0273378; building iou: 0.8801397; fence iou: 0.5535039; vegetation iou: 0.86884063; trunk iou: 0.624855; terrain iou: 0.7434975; pole iou: 0.63295954; traffic-sign iou: 0.4901828; mean iou: 0.6127431
Epoch 12; car iou: 0.9443924; bicycle iou: 0.49160603; motorcycle iou: 0.603488; truck iou: 0.43505666; other-vehicle iou: 0.37043464; person iou: 0.643786; bicyclist iou: 0.83502626; motorcyclist iou: 0.013554522; road iou: 0.9317717; parking iou: 0.48533458; sidewalk iou: 0.7922625; other-ground iou: 0.01076567; building iou: 0.9100124; fence iou: 0.6521386; vegetation iou: 0.87614405; trunk iou: 0.55914754; terrain iou: 0.7327711; pole iou: 0.6203687; traffic-sign iou: 0.4884783; mean iou: 0.5998179
Epoch 13; car iou: 0.94979024; bicycle iou: 0.51476806; motorcycle iou: 0.7356215; truck iou: 0.93353105; other-vehicle iou: 0.5106917; person iou: 0.71451104; bicyclist iou: 0.9164325; motorcyclist iou: 0.065864; road iou: 0.92177385; parking iou: 0.42082158; sidewalk iou: 0.77949506; other-ground iou: 0.026341166; building iou: 0.89389205; fence iou: 0.6025661; vegetation iou: 0.88041025; trunk iou: 0.6397159; terrain iou: 0.74657464; pole iou: 0.63608205; traffic-sign iou: 0.506587; mean iou: 0.65239316
Epoch 14; car iou: 0.94493806; bicycle iou: 0.4980114; motorcycle iou: 0.6122224; truck iou: 0.50085235; other-vehicle iou: 0.49321684; person iou: 0.5829716; bicyclist iou: 0.7043657; motorcyclist iou: 0.05027593; road iou: 0.9339374; parking iou: 0.35202622; sidewalk iou: 0.7776443; other-ground iou: 0.005103925; building iou: 0.8783665; fence iou: 0.53091395; vegetation iou: 0.87487215; trunk iou: 0.5680739; terrain iou: 0.7374731; pole iou: 0.5669573; traffic-sign iou: 0.48909834; mean iou: 0.58428013
Epoch 15; car iou: 0.9530118; bicycle iou: 0.518383; motorcycle iou: 0.741742; truck iou: 0.61745536; other-vehicle iou: 0.5411517; person iou: 0.66351664; bicyclist iou: 0.80794966; motorcyclist iou: 0.036946893; road iou: 0.94516945; parking iou: 0.54036003; sidewalk iou: 0.81792843; other-ground iou: 0.0018942964; building iou: 0.8994969; fence iou: 0.5732994; vegetation iou: 0.86873597; trunk iou: 0.5959215; terrain iou: 0.7404837; pole iou: 0.6323815; traffic-sign iou: 0.49100503; mean iou: 0.6308859
Epoch 16; car iou: 0.95468307; bicycle iou: 0.51302826; motorcycle iou: 0.7332203; truck iou: 0.8324231; other-vehicle iou: 0.5260376; person iou: 0.7109596; bicyclist iou: 0.9017212; motorcyclist iou: 0.076679364; road iou: 0.94354004; parking iou: 0.46074718; sidewalk iou: 0.80530643; other-ground iou: 0.0063152867; building iou: 0.89616865; fence iou: 0.5882578; vegetation iou: 0.89538974; trunk iou: 0.60523486; terrain iou: 0.77727306; pole iou: 0.6204416; traffic-sign iou: 0.5085286; mean iou: 0.6503135
Epoch 17; car iou: 0.95472485; bicycle iou: 0.46275166; motorcycle iou: 0.72314656; truck iou: 0.65242547; other-vehicle iou: 0.56610537; person iou: 0.72684366; bicyclist iou: 0.9072099; motorcyclist iou: 0.052674092; road iou: 0.93988913; parking iou: 0.55214006; sidewalk iou: 0.81030244; other-ground iou: 0.00597992; building iou: 0.8976866; fence iou: 0.5844099; vegetation iou: 0.89407957; trunk iou: 0.62793565; terrain iou: 0.7803053; pole iou: 0.6432801; traffic-sign iou: 0.48672172; mean iou: 0.6457164
Epoch 18; car iou: 0.9541663; bicycle iou: 0.5236361; motorcycle iou: 0.7414189; truck iou: 0.89807963; other-vehicle iou: 0.47846508; person iou: 0.74012846; bicyclist iou: 0.9121877; motorcyclist iou: 0.27896684; road iou: 0.9371692; parking iou: 0.46918124; sidewalk iou: 0.8069144; other-ground iou: 0.0031151155; building iou: 0.8837685; fence iou: 0.5645262; vegetation iou: 0.8818551; trunk iou: 0.57376033; terrain iou: 0.77050406; pole iou: 0.6060982; traffic-sign iou: 0.4764104; mean iou: 0.6579132
Epoch 19; car iou: 0.95220006; bicycle iou: 0.49333972; motorcycle iou: 0.75455666; truck iou: 0.89852375; other-vehicle iou: 0.4751844; person iou: 0.70449543; bicyclist iou: 0.86593604; motorcyclist iou: 0.026556397; road iou: 0.9496777; parking iou: 0.5359456; sidewalk iou: 0.8231656; other-ground iou: 0.0015046751; building iou: 0.8950487; fence iou: 0.5813202; vegetation iou: 0.8771488; trunk iou: 0.69032156; terrain iou: 0.74051195; pole iou: 0.6413046; traffic-sign iou: 0.501941; mean iou: 0.65308857
Epoch 20; car iou: 0.95774996; bicycle iou: 0.53392136; motorcycle iou: 0.762697; truck iou: 0.81841844; other-vehicle iou: 0.5372134; person iou: 0.7314626; bicyclist iou: 0.9052633; motorcyclist iou: 0.082636416; road iou: 0.94254535; parking iou: 0.44913268; sidewalk iou: 0.817225; other-ground iou: 0.00028186207; building iou: 0.90631175; fence iou: 0.62553704; vegetation iou: 0.8655023; trunk iou: 0.6450845; terrain iou: 0.7104348; pole iou: 0.6358553; traffic-sign iou: 0.5034377; mean iou: 0.654248
